"","ëŒè€ÉäÉXÉN","(Intercept)","age","sbp","got","fbg","sbp2","hdl2","got2","gpt2","hb2","bmi","dbp","tg","hdl","ldl","gpt","ggtp","hb","bmi2","dbp2","tg2","ldl2","ggtp2","fbg2","AUC","Sensitivity","Specificity","Score"
"full.model","sbpj",-27.5232817147323,0.0475298127489769,0.0823188387794356,0.0157756930742159,-0.0189739290608812,0.091465204194453,-0.0297381097444254,-0.0421638115631381,0.0161516851851371,0.230508977846923,0.00777685718699642,-0.0228922160348539,0.00139094085612655,0.0225857118211696,0.00329141396167517,-0.000609825716513591,0.000890240757076798,-0.0549194787324146,-0.000517570161588217,0.0204365443846762,-0.00125068146546092,-0.00407800828090227,-0.000631970042328127,0.00344642614379356,0.92014173429465,0.850204498977505,0.832448787262537,-2.55832725292353
"stepwise.model","sbpj",-27.0829072199701,0.0478050430649403,0.0737735371456199,0.0184566093264346,-0.0154616839727895,0.0985395609543982,-0.0110005926081002,-0.0438609706686762,0.0156869197465331,0.164054973991043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.921216593944451,0.847648261758691,0.836168840831308,-2.54100672294927
"LASSO.model","sbpj",-25.1819188883778,0.0321093190055458,0.0676830373304537,0,-0.0083317783960265,0.0868978867425252,-0.00887814202485619,-0.00662108956435805,0,0.12443983428393,0.00335402374772887,0,0,0,0,0.00606292205003646,0,0,0,0.00908459009147176,0,0,0,0,0.925253371910411,0.86758691206544,0.827587917266009,-2.51664661988671
"SCAD.model","sbpj",-26.6169735160907,0.0405519710775949,0.0717493880555822,0,-0.00693114234321288,0.0959614755259672,-0.00748283038322466,-0.00584933343421043,0,0.113056277988571,0,0,0,0,0,0.00834837842529462,0,0,0,0,0,0,0,0,0.924805342554894,0.880368098159509,0.814096522989931,-2.6818814180123
"full.model1","dbpj",-27.7444935206231,0.0501724877857458,0.0459915206032484,-0.00521259896605222,-0.0257596591192082,0.00179939993163716,-0.0161037460426758,-0.0166238540678125,0.00858937033502628,0.235837257111464,0.0544557359993692,0.0295679757102599,-0.00376383884800428,0.012385310571433,-0.00118970483771843,0.000626575969111736,0.000721444149454178,0.0258076453921045,0.00418305760935582,0.134694081446982,0.00245457812363357,-0.00351106162307563,0.000845840180112436,0.0194659449689436,0.925281407550402,0.880116959064328,0.820333914776975,-2.45202250622644
"stepwise.model1","dbpj",-28.2647717430715,0.0467227556142227,0.0455168073854693,NA,-0.0245442930660783,NA,NA,NA,NA,0.252957815774135,0.0623670691714194,0.0292859287374359,-0.00392424099535717,NA,NA,NA,NA,NA,NA,0.134748794193127,0.00314903226641253,NA,NA,0.0182680235908753,0.926154083050894,0.89083820662768,0.811861450286569,-2.5032405010893
"LASSO.model1","dbpj",-21.7740435321779,0.0187820023879306,0.0358844139964078,0,0,0.000759842113543774,0,0,0,0.122240053827305,0.0176289419018096,0.0240159405802168,0,0,0,0,0,0,0,0.120925664714513,0,0,0,0,0.928738009850181,0.90692007797271,0.801495140792425,-2.39763957172032
"SCAD.model1","dbpj",-21.4703334126643,0,0.0542458609405558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150652237987499,0,0,0,0,0.925294729264393,0.871345029239766,0.825766259656118,-2.3119465904515
"full.model2","tgj",-10.9308886971827,0.0316796985734271,-0.0123018177698021,0.0190382700889282,-0.00840025847381946,0.0326947063882749,-0.0984759399467476,-0.00508722922400309,-0.0120988502961011,0.779681924082192,-0.0812961583475169,0.00413301575359513,0.0109158263935053,0.0630099810234084,0.00107682844169533,0.0030840267357551,-0.00214576482741235,-0.566490608934396,-0.0138366284978394,-0.0147776251629383,0.00828503912072927,0.00725129280022325,0.00757494685243961,0.0101671486037354,0.886747251203138,0.813953488372093,0.793678828724146,-3.96032848646175
"stepwise.model2","tgj",-10.6740283087679,0.0363394252490159,NA,NA,NA,0.0171769175297924,-0.0918242911092657,NA,NA,0.717990574872778,-0.10395910486587,NA,0.0104903273301776,0.0544153978138172,NA,NA,NA,-0.51142641893134,NA,NA,0.00831723785607308,0.00700804736481113,0.00583634848257918,NA,0.888275428639421,0.795681063122924,0.817522658610272,-3.76330230110116
"LASSO.model2","tgj",-10.6740683028515,0.0315612738734821,-0.00723945011219331,0.015375637172362,-0.00603114381724247,0.0224447108701804,-0.0734109545613607,-0.00421731638938186,-0.00730738436149854,0.620148508817835,-0.0690397200300866,0,0.00983993989500501,0.0380204831454562,0.00104260909252062,0,-0.000392752914485742,-0.416496904973475,-0.0104683813910577,-0.00372338292193117,0.00852735907752863,0.00581752854599349,0.00574203136444023,0.00827552756565311,0.894478085674654,0.875415282392027,0.747339065768069,-4.17339863362838
"SCAD.model2","tgj",-7.05380238092247,0,0,0,0,0,0,0,0,0,0,0,0.00951441459593176,0,0,0,0,0,0,0,0.0105021633439968,0,0,0,0.915038916679494,0.850498338870432,0.834580525214966,-3.68690615894968
"full.model3","hdlj",42.501508628426,0.093140397974258,0.04965906775556,-0.0505857345968405,0.0765302074026975,-0.00599383728505575,-0.657615274244629,-0.0628421433323902,0.0846795578684536,-0.739991154167741,0.538313904537066,-0.0239401883661253,-0.000990019759150316,-0.337453729125921,0.0296454901934714,-0.0214946971260156,-0.015626904811182,-0.0922945147111956,-0.668116488612605,0.0107432449083615,-0.00434373879294468,-0.0294730415475214,0.0131500678677614,-0.0805821492976237,0.968539110752126,0.911877394636015,0.922172401171303,-7.30965794015151
"stepwise.model3","hdlj",36.7778183016512,0.085690117698731,0.0390685867986348,-0.0884340186123714,0.0720592975378166,NA,-0.673584817345955,NA,0.0432182101370863,-0.742839088822841,NA,NA,NA,-0.253678903150113,NA,NA,NA,NA,-0.130189299175195,NA,-0.00621937838969541,NA,NA,-0.0548686579727243,0.968963518789688,0.942528735632184,0.894033674963397,-8.23510826959519
"LASSO.model3","hdlj",18.8523148008824,0.0341312496948596,0.00535995338624992,-0.0128178133235003,0.0142464451263296,0,-0.402031801591112,0,0.0135723904512094,-0.209908964516272,-0.0398505770201884,0,0,-0.129504770601835,0,0,0,0,0,0,-0.00265109648784168,0,0,-0.00920578382826875,0.9726822167247,0.957854406130268,0.894719985358712,-5.28672365927259
"SCAD.model3","hdlj",21.1241495755395,0,0,0,0,0,-0.520146394363032,0,0,0,0,0,0,-0.133211899759872,0,0,0,0,0,0,0,0,0,0,0.973203041292917,0.954022988505747,0.902681185944363,-6.04285425529685
"full.model4","hba1cj",-18.9530135268617,0.0152172943659739,-0.00283938215515455,-0.00773147438510061,0.0991343937655175,-0.0054012490148161,-0.096751735622875,0.0523766038077477,-0.0197986877411766,-0.683923025768812,0.409842938425854,-0.0132374995097695,-0.000227988468530394,0.0685400275102701,0.00685680429352527,0.00761309959125855,-0.00897973661620623,0.308612751187546,-0.231921264123043,0.0162571928803377,-0.000886464117073957,0.00426116979941539,0.0049162890039271,0.0535463976354414,0.944884537722443,0.866533864541833,0.901503585473051,-3.84158051468329
