"","ëŒè€ÉäÉXÉN","(Intercept)","age","bmi","sbp","ldl","gpt","hb","bmi2","sbp2","dbp2","ldl2","dbp","tg","hdl","got","ggtp","hba1c","tg2","hdl2","got2","gpt2","ggtp2","hba1c2","hb2","AUC","Sensitivity","Specificity","Score"
"full.model","sbpj",-23.7386323359638,0.0420740598286641,-0.271422814592217,0.0519954777946722,0.00796826317970151,0.0149739481816543,-0.094426530848699,0.319873094296766,0.0669815592521301,0.0445975358203094,-0.00781912239945958,0.00513119763462674,-0.00176818616858835,0.00150473606986903,-0.00212264308091749,-0.00653310556059882,0.494958508068645,0.0009484251126022,-0.00455174645289327,0.0287587689729457,-0.0171257601315094,0.0044690442566459,-0.523429226459059,-0.00468496319888127,0.947440974791207,0.92962962962963,0.835876253898677,-3.10821159628515
"stepwise.model","sbpj",-23.0481067593854,0.0438847270953389,-0.285762206937715,0.053065418188797,0.00830809735943877,0.0118445326828394,-0.122087574017879,0.325705367370122,0.0649427991604,0.0465598489899389,-0.00896829585867096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.948094188487173,0.917901234567901,0.848183427463542,-2.96497947934403
"LASSO.model","sbpj",-21.0966717289481,0.0219523061842539,0,0.0444573897944615,0,0,0,0.0290883555179633,0.0633835519000694,0.0343330864307221,0,0.00175264126159866,0,0,0.00939815461114746,0,0,0,0,0,0,0,0,0,0.949408030779146,0.893827160493827,0.873640731686757,-2.55488974590746
"SCAD.model","sbpj",-22.375181907446,0.011257893382127,0,0.0547499781749916,0,0,0,0.00997512878898727,0.0875539005853313,0.00560089565272929,0,0,0,0,0.0162383718592559,0,0,0,0,0,0,0,0,0,0.94786331190554,0.909259259259259,0.860069122481666,-2.8330779490201
"full.model1","dbpj",-21.79414645413,0.00034775160165175,-0.0904882817256012,0.0209108982219219,-0.00258065286777177,-0.0191423061266089,-0.0317540721758429,0.107752720171877,0.0195453129408077,0.106731323579375,0.00563764397580935,0.0620324679191651,-8.21533399329836e-05,-0.00442353745267607,0.046901737181884,-0.0153054194366383,0.62889426617528,0.0038434302543985,0.00932857246007372,-0.0258325145953683,0.0187919768265963,7.72529846535166e-05,-0.669444613762834,-0.055501975292792,0.93861870781592,0.870384325546345,0.873558432907282,-2.99302244338981
"stepwise.model1","dbpj",-21.8041827401663,NA,NA,0.0215762974313232,NA,NA,NA,NA,0.0202041436660859,0.105971807617919,NA,0.0593382942855961,NA,NA,0.022597870075986,-0.0172768762374048,NA,0.00317338898600066,NA,NA,NA,NA,NA,NA,0.938849905091238,0.882441597588546,0.860069111953037,-3.15482380274488
"LASSO.model1","dbpj",-20.3493662794034,0,0,0.0194226027183559,0,0,-0.0062606268350117,0.00151600472491837,0.019611401398476,0.0984790475359831,0.000422232192974121,0.0547017585451269,0.000103096401698995,0,0.0166044336339724,-0.010242342306979,0,0.0022650090562496,0,0,0,0,-0.00835350771539132,0,0.941317682657295,0.893745290128109,0.85807069403389,-3.08793278000421
"SCAD.model1","dbpj",-21.3911794234471,0,0,0,0,0,0,0,0.0301377236716579,0.0992447967839107,0,0.0790773180963144,0,0,0.0205021697997172,-0.0136191963236376,0,0.0029768023791602,0,0,0,0,0,0,0.939765564268717,0.880934438583271,0.867396644323244,-3.07452959467914
"full.model2","tgj",-11.276673471975,0.031041456259383,-0.0848029101316561,-0.0121782150338935,0.00110267790205573,0.00237752485690722,-0.573818256056774,-0.0145010823715484,0.0325730717423927,-0.0157683723297937,0.0069342073780825,0.00431005492788707,0.0108764931415679,0.062562085304081,0.0211591547418509,-0.00214748145295974,-0.203235055835242,0.00819543210041335,-0.098702193215896,-0.00486537981807151,-0.0123883169127462,0.00758191180606382,0.314356184743905,0.800452167827893,0.885601330447856,0.843853820598007,0.763699744364397,-4.14393890469436
"stepwise.model2","tgj",-10.6740283087679,0.0363394252490159,-0.10395910486587,NA,NA,NA,-0.51142641893134,NA,0.0171769175297924,NA,0.00700804736481113,NA,0.0104903273301776,0.0544153978138172,NA,NA,NA,0.00831723785607308,-0.0918242911092657,NA,NA,0.00583634848257918,NA,0.717990574872778,0.888275428639421,0.795681063122924,0.817522658610272,-3.76330230110116
